id,income-january,orders-january,clients-january,income-february,orders-february,clients-february,income-march,orders-march,clients-march,income-april,orders-april,clients-april,income-may,orders-may,clients-may,income-june,orders-june,clients-june,income-july,orders-july,clients-july,income-august,orders-august,clients-august,income-september,orders-september,clients-september,income-october,orders-october,clients-october,income-november,orders-november,clients-november,income-december,orders-december,clients-december
853,16644.39906,660,31,17656.52318,692,33,18752.77228,703,30,21350.52078,801,32,23010.76932,927,31,22846.74143,893,33,23402.53839,905,33,24931.79955,921,33,28113.09519,960,36,26565.64767,800,35,27469.09922,974,35,25944.44948,937,37
854,27462.1049,977,32,26507.18615,983,32,26674.13908,1006,34,33784.36804,1226,34,32877.22981,1286,36,33957.93134,1313,34,30156.41304,1297,35,37606.98459,1365,36,36187.2068,1337,37,25138.25826,855,33,29112.82296,1142,36,37688.14012,1275,36
855,21323.6663,853,27,22202.51906,855,29,28237.26822,954,27,32252.04967,1201,28,33609.56762,1271,30,35223.67208,1189,30,28987.21828,1256,31,37217.94204,1297,31,45507.35295,1274,31,37439.58403,1000,31,39408.72719,1213,30,36163.84802,1115,30
856,18622.07478,703,24,18718.04392,692,24,19102.59399,646,24,22582.11275,796,25,23488.04869,862,27,24532.39795,907,25,21534.68129,909,28,26478.24364,928,28,26082.48385,849,28,32617.36749,834,25,29875.88605,1041,29,27139.16206,922,31
857,21760.9019,856,31,24175.02056,903,32,27106.06294,938,32,33515.10156,1100,33,28299.43149,1129,32,27473.78015,1002,31,27713.61677,1150,34,32387.22687,1090,33,28588.76499,990,33,26715.47395,841,34,27005.34639,932,32,30969.40696,1064,31
858,8790.449846,354,26,12268.42534,500,25,10277.22528,424,25,13299.7086,521,25,14080.50488,558,25,14407.33392,528,27,15637.65892,596,28,15359.5187,536,27,15803.40734,535,26,26387.5071,421,27,15374.83936,533,24,13459.49735,478,25
859,22642.69171,834,34,19645.61759,804,36,26140.96215,1002,37,28693.86014,990,34,28117.68916,1066,37,25703.57057,943,35,28980.92705,1085,35,37589.15361,1240,37,33433.84548,1016,38,33204.10287,773,35,35918.64036,1085,36,41344.74979,1157,39
860,18989.24664,703,33,18881.77842,728,35,21259.18546,741,35,23361.16798,861,36,24849.79354,878,35,22103.52576,830,35,22442.58349,838,36,25174.72343,905,36,25287.85815,853,35,17751.3348,663,34,20749.80715,798,36,25151.1463,912,32
861,18716.80617,745,26,20672.7895,759,27,20846.74711,765,28,24412.18322,899,28,24506.96823,964,30,23052.94696,873,31,22717.60054,909,31,27296.76456,1006,31,26846.01937,903,31,20150.07661,658,29,28828.55841,1075,32,27564.32832,956,32
862,14325.57906,661,27,15355.3799,672,25,17464.62685,734,28,17901.98558,758,28,20459.27736,816,31,19631.86668,840,30,17606.40657,737,29,23595.89678,942,30,21354.25232,802,29,15980.134,560,29,18628.12383,806,30,19179.84037,782,30
863,20236.42061,774,26,20971.33532,770,28,24552.27437,783,28,26803.01228,980,29,29803.93017,1104,30,30220.47732,1010,31,29283.65473,1115,30,32687.49056,1033,30,32588.09323,1037,30,27884.3929,825,31,41147.59325,1147,34,35217.63715,1137,33
864,19603.4791,745,33,24012.75788,875,33,23270.37295,889,33,29802.98352,1075,35,29999.50568,1129,37,30195.8796,1169,36,28614.88753,1165,36,39471.62973,1246,38,35447.37311,1089,38,34110.27991,990,38,35073.43953,1205,35,37836.426,1269,37
865,26658.2837,1022,39,37177.35272,1082,41,35680.81298,1110,38,28069.72939,1157,40,44399.60805,1355,41,36638.8382,1314,43,40651.65902,1372,41,39572.24847,1297,41,34869.11514,1188,43,29517.02034,943,42,32961.93779,1262,41,45213.40443,1377,44
866,64987.34933,618,20,116118.5956,701,20,104217.7629,597,21,108874.8911,728,20,71425.82299,669,23,124231.8523,812,21,91567.41808,676,22,100016.5104,738,21,131970.4806,684,22,100238.2999,546,19,76023.27824,633,20,132405.0999,829,21
867,16399.11438,665,29,18340.56003,688,30,21244.44411,779,30,20897.93951,786,28,27276.62562,979,32,21251.57595,836,31,21038.3609,877,29,29872.81459,888,31,25075.36011,907,31,14955.9028,552,31,22049.75186,834,30,33960.07269,813,30
868,19705.57433,740,32,19875.61326,715,31,19803.40221,766,31,20549.41766,768,32,25470.43361,950,33,22909.89149,848,32,22438.08021,906,32,33968.38761,931,32,24937.95953,885,33,20838.06879,709,33,37729.03047,902,31,38811.68746,853,31
869,25723.25194,989,35,26960.44164,925,36,31174.45647,1032,35,30709.63541,1001,35,33193.70816,1116,36,28663.5921,1063,33,28675.81246,1102,36,38016.25283,1228,37,28981.27134,1025,37,31895.94597,809,35,37487.0124,1121,37,42371.56202,1210,39
870,10665.57666,350,18,13310.44813,462,21,13781.71202,440,20,15354.38257,607,21,17657.50244,595,23,17062.54093,576,22,18724.46714,652,21,20437.60947,608,21,16441.40688,638,22,16799.2645,508,22,23089.29166,710,24,24090.57664,683,25
871,10112.96351,344,19,14201.16179,446,19,12294.09427,450,20,15049.64989,482,17,16847.63395,585,21,13062.89646,475,20,17861.47785,563,20,19275.47965,624,21,15573.54375,498,19,12708.17839,393,20,13230.47271,462,20,15213.17168,504,20
872,18743.77179,735,30,16940.17467,680,31,19436.0347,712,32,22440.45842,899,31,24618.48891,949,32,22750.01774,893,29,22448.8611,863,31,27698.21268,996,32,25100.68926,912,33,15764.0702,581,28,23650.62235,882,30,19331.48389,790,33
873,23398.77541,928,42,26038.17102,1000,42,29793.60713,1070,44,37578.14668,1322,44,35820.31073,1356,45,33803.98079,1262,44,32309.58411,1278,44,43636.39697,1487,46,32072.68132,1262,45,25222.07127,900,47,30004.55222,1245,44,34033.12597,1081,45
874,14238.36879,597,23,14106.45491,571,22,20938.42444,670,23,21283.37268,809,24,17218.45133,730,23,26262.65035,803,24,16324.10578,729,22,21531.51368,776,25,24800.44625,788,24,28670.13288,870,25,19342.36575,784,24,17969.80317,763,24
875,14846.55871,537,25,16502.9222,611,26,19094.13759,590,27,17403.97909,629,26,21488.32769,762,28,18682.26686,685,28,20326.89753,720,27,20384.29373,765,28,15523.44899,619,28,17138.88942,637,29,16405.57901,625,26,22417.70939,832,31
876,15431.65814,656,25,15943.71537,708,25,20163.33956,689,28,18709.71142,720,27,21562.62114,800,28,23416.46838,844,26,17537.84855,731,28,22595.14993,811,28,19488.7564,807,29,17081.62218,641,28,18731.61483,782,27,21355.32429,790,29
