id,income,clients
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,80623960.71,804
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,3636180.043,21
35,11101178.86,151
36,37251853.42,182
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,33999043.54,239
57,211848244.5,1772
58,174135768.8,1181
59,38618328.96,255
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,36771835.06,313
80,263890382.2,2170
81,321216163,2371
82,126210614.7,854
83,91145840.58,790
84,6770201.178,87
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100,0,0
101,0,0
102,50220928.08,374
103,455811781,3685
104,164258541.6,1397
105,47670725.8,341
106,29364519.34,331
107,0,0
108,0,0
109,0,0
110,0,0
111,0,0
112,0,0
113,0,0
114,0,0
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
120,0,0
121,0,0
122,0,0
123,0,0
124,0,0
125,208476511.9,2130
126,310525968.5,2895
127,3966524.104,45
128,16320516.17,168
129,187947353.2,1409
130,0,0
131,0,0
132,0,0
133,0,0
134,0,0
135,0,0
136,0,0
137,0,0
138,0,0
139,0,0
140,0,0
141,0,0
142,0,0
143,0,0
144,0,0
145,578056.1078,9
146,10284286.04,146
147,0,0
148,40537296.95,478
149,141350955.3,1599
150,3935130.755,41
151,15289823.78,116
152,209984224,1707
153,10171444.61,66
154,0,0
155,0,0
156,0,0
157,0,0
158,0,0
159,0,0
160,0,0
161,0,0
162,0,0
163,0,0
164,0,0
165,0,0
166,0,0
167,5071332.093,45
168,83817864.84,936
169,213189553.7,1862
170,78985632,621
171,0,0
172,325383084.1,2374
173,70130197.13,642
174,47894790.08,332
175,383821919.9,3630
176,84362543.75,738
177,0,0
178,0,0
179,0,0
180,0,0
181,0,0
182,0,0
183,0,0
184,0,0
185,0,0
186,0,0
187,0,0
188,0,0
189,0,0
190,135934844.3,1021
191,241427257.7,1800
192,380483613.9,2892
193,65534263.66,603
194,3993698.014,21
195,337485949.8,2566
196,453099852.4,3481
197,402072402.7,3645
198,459963061.6,3843
199,113364797.1,934
200,0,0
201,0,0
202,0,0
203,0,0
204,0,0
205,0,0
206,0,0
207,0,0
208,0,0
209,0,0
210,0,0
211,0,0
