id,moclients,moincome,tuclients,tuincome,weclients,weincome,thclients,thincome,frclients,frincome,saclients,saincome,suclients,suincome
595,4,443376.3845,3,43132.3046,11,1498483.096,5,2106799.938,0,0,8,331599.1318,3,22775.1907
596,44,4222255.213,6,556731.7008,30,1606947.625,44,16695055.94,2,39018.91635,8,301982.1458,4,25010.48698
597,0,0,0,0,0,0,0,0,0,0,0,0,0,0
598,0,0,0,0,0,0,0,0,0,0,0,0,0,0
599,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601,0,0,0,0,0,0,0,0,0,0,0,0,0,0
602,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603,0,0,0,0,0,0,0,0,0,0,0,0,0,0
604,0,0,0,0,0,0,0,0,0,0,0,0,0,0
605,0,0,0,0,0,0,0,0,0,0,0,0,0,0
606,93,7705380.43,103,23726667.41,38,5782307.118,91,23465278.7,103,31776883.9,34,3654213.115,15,95474.6841
607,145,37621066.85,17,3524161.89,83,1038819.211,141,51426374.85,38,4769419.178,8,575544.7895,78,568602.2083
608,103,15249494.44,92,21216474.08,108,17324716.52,102,26048474.33,81,22571057.42,84,16221993.96,51,453256.3675
609,72,28750268.75,41,3572701.733,97,19640108.51,72,28396172.1,22,4940214.653,68,15126928.37,61,447596.8715
610,39,9026997.66,42,2365816.636,86,20568293.95,90,12377159.91,8,1005342.631,64,5536118.693,36,349813.0375
611,25,1701764.632,75,1077936.753,165,31201015.43,54,8164557.863,34,1619514.482,141,18352928.74,59,289091.6468
612,1,24989170.22,5,7653239.185,5,40170776.28,1,6320963.493,2,40716404.93,5,15424603.93,3,19663.23816
613,3,963131.0233,0,0,3,18175.33677,3,824383.4855,0,0,0,0,2,12795.10436
614,19,1787693.806,11,1858096.307,9,52726.5716,20,2098841.008,11,1489333.563,5,26881.84798,3,9724.15325
615,50,11818246.26,17,950042.0555,42,8371964.288,36,6564708.8,4,561875.2985,27,8847417.403,23,209575.2854
616,21,282294.8183,11,105238.4939,20,3846280.258,2,2063304.186,1,6089,20,5618983.528,6,37476.19368
617,1,232171.2112,0,0,1,18844.35153,1,1105543.841,0,0,0,0,0,0
618,7,730282.6013,0,0,4,53742.87733,8,3146962.545,0,0,0,0,0,0
619,2,179472.559,0,0,1,9296.23957,2,531260.0173,0,0,0,0,0,0
620,0,0,0,0,0,0,0,0,0,0,0,0,0,0
621,0,0,0,0,0,0,0,0,0,0,0,0,0,0
622,0,0,0,0,0,0,0,0,0,0,0,0,0,0
623,0,0,0,0,0,0,0,0,0,0,0,0,0,0
624,0,0,0,0,0,0,0,0,0,0,0,0,0,0
625,0,0,0,0,0,0,0,0,0,0,0,0,0,0
626,0,0,0,0,0,0,0,0,0,0,0,0,0,0
627,0,0,0,0,0,0,0,0,0,0,0,0,0,0
628,0,0,0,0,0,0,0,0,0,0,0,0,0,0
629,16,571229.534,42,9036220.788,2,97792.17935,20,945826.9903,41,12218253.51,6,173766.4169,1,6992.960528
630,19,1399261.238,24,6800406.995,3,30366.16455,15,1296457.143,24,9399097.098,4,31890.23645,1,7883.75
631,42,542895.9285,85,25643380.93,13,167225.7136,42,577037.2445,84,31735750.03,5,64636.47358,0,0
632,8,3431053.038,42,4875414.838,81,20528291.69,23,2501915.5,18,3004093.868,82,25493032.43,32,245248.6562
633,51,17738169.88,25,461332.8733,42,5969662.195,59,14178587.35,5,2499689.09,21,7706224.5,35,292906.8978
634,59,3477393.443,95,20230647.18,45,9636281.093,69,4726500,74,15559681.34,37,3596046.983,23,155234.047
635,123,17932805.57,119,43682350.98,39,329565.3458,123,12138971.98,119,32142153.08,3,48986.91447,31,279480.002
636,6,1218099.037,0,0,3,21805.66667,6,927060.4318,0,0,0,0,4,19079.11319
637,99,16339333.42,37,1999962.931,55,2747641.738,100,14910381.98,36,3301060.128,8,1877323.193,29,176217.578
638,26,7261031.32,13,670781.0218,55,9707507.568,23,5019691.858,10,407179.83,42,10202885.04,17,114268.4854
639,14,2546038.498,20,1094754.404,68,11058931.22,11,2104155.951,7,2196636.47,65,13070876.92,17,78470.82783
640,27,2575992.035,2,19422204.05,10,1137800.105,27,7892957.663,4,750827.9805,1,403242.4383,3,8379.551408
641,27,5700316.125,6,310457.7385,11,142474.4422,25,7338894.983,4,900024.611,4,245858.0539,6,54853.30668
642,10,4171285.363,6,97605.29668,2,302484.8405,11,915179.299,2,96639.52285,3,509100.8083,6,101533.7701
643,0,0,0,0,0,0,0,0,0,0,0,0,0,0
644,0,0,0,0,0,0,0,0,0,0,0,0,0,0
645,0,0,0,0,0,0,0,0,0,0,0,0,0,0
646,0,0,0,0,0,0,0,0,0,0,0,0,0,0
647,0,0,0,0,0,0,0,0,0,0,0,0,0,0
648,0,0,0,0,0,0,0,0,0,0,0,0,0,0
649,0,0,0,0,0,0,0,0,0,0,0,0,0,0
650,0,0,0,0,0,0,0,0,0,0,0,0,0,0
651,0,0,0,0,0,0,0,0,0,0,0,0,0,0
652,0,0,0,0,0,0,0,0,0,0,0,0,0,0
653,0,0,0,0,0,0,0,0,0,0,0,0,0,0
654,0,0,11,275424.174,15,13382552.14,1,8268,6,106546.2072,15,12956322.98,0,0
655,0,0,23,131568.3005,43,12746880.04,1,3801.75,9,41409.44275,43,15863982.03,4,25708.2797
656,54,6419151.625,77,27249627.1,31,3622561.918,52,4007915.605,76,16813828.07,19,2038533.125,13,164108.4587
657,66,1258467.748,158,19444802.05,192,48532573.48,47,1397960.224,121,14593673.48,194,32785979.05,75,412237.7043
658,129,22661243.78,144,37338121.48,88,16086936.77,126,16885836.74,133,27566374.78,90,13992300.66,55,610601.0298
659,0,0,0,0,0,0,0,0,0,0,0,0,0,0
660,6,540950.754,6,137627.9782,4,33406.18088,6,468322.149,5,166432.6749,0,0,2,9125.179873
661,8,1986449.981,7,210144.7931,7,244818.049,10,1481148.427,7,354774.2955,1,228539.4902,6,38535.4493
662,71,46105202.73,8,4198794.29,50,6677556.72,74,35699292.55,8,2929137.855,19,12633349.4,37,288204.015
663,41,9868170.73,14,931256.9353,5,354980.8263,42,8088938.545,4,714488.654,2,774194.913,12,163021.3893
664,51,17599235.09,5,86280.8339,0,0,50,3770128.53,1,290.25,1,6716.610918,16,141543.6627
665,56,9410900.14,43,7202785.775,2,671033.8948,54,2236847.715,27,9106666.863,14,152498.7605,12,73197.23523
666,20,3819117.62,7,24485.42761,10,72419.31995,20,4742264.058,0,0,0,0,11,51709.53813
667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
668,0,0,0,0,0,0,0,0,0,0,0,0,0,0
669,0,0,0,0,0,0,0,0,0,0,0,0,0,0
670,0,0,0,0,0,0,0,0,0,0,0,0,0,0
671,0,0,0,0,0,0,0,0,0,0,0,0,0,0
672,0,0,0,0,0,0,0,0,0,0,0,0,0,0
673,0,0,0,0,0,0,0,0,0,0,0,0,0,0
674,0,0,0,0,0,0,0,0,0,0,0,0,0,0
675,0,0,0,0,0,0,0,0,0,0,0,0,0,0
676,6,39705.3953,12,2188049.989,10,86231.43645,6,51204.43508,12,2889486.295,0,0,0,0
677,31,235072.6642,77,15624771.32,14,160325.6943,28,190520.6701,77,20114712.23,0,0,0,0
678,49,6397344.865,44,8855992.815,14,127898.9675,43,5318134.485,43,12297649.69,28,265625.969,12,116058.4848
679,121,32188204.8,63,10786008.65,118,16923038.67,116,24232133.69,43,8867511.79,56,17563336.05,71,638830.9768
680,39,3472675.173,125,8948896.808,174,49271633.75,17,1595878.056,70,8219402.138,172,42588006.58,78,519381.038
681,41,9627736.725,54,12028687.78,101,38664872.33,42,14359145.54,36,9298626.828,87,19546977.06,52,1211779.364
682,27,285900.4645,51,12326111.36,2,754587.5843,22,341289.438,51,13630305.33,14,1800470.368,0,0
683,13,84271.3354,27,4447108.858,0,0,7,65727.3829,28,5240238.558,9,54271.72965,0,0
684,12,3509534.113,1,61602.7532,1,6329.05546,12,6124638.61,1,41711.15625,0,0,6,46625.65078
685,9,1545335.472,2,16234166.43,5,1295671.302,9,2119693.57,2,1269657.389,2,936103.9173,2,5925.301408
686,23,4117161.06,23,10313881.6,32,9715079.768,24,6497458.875,6,1898819.388,32,6023376.298,23,142619.6858
687,22,844856.3448,50,8823857.785,49,10760992.19,14,1463524.349,42,11384267.43,45,10738529.17,11,95484.60443
688,93,13317709.36,101,16702640.35,45,6599382.393,89,17838588.9,80,21358506.46,24,1606022.734,25,162986.876
689,54,9127432.583,24,128351.9251,30,280808.7063,53,11205969.69,0,0,1,97535.48308,26,143109.8103
690,0,0,0,0,0,0,0,0,0,0,0,0,0,0
691,0,0,0,0,0,0,0,0,0,0,0,0,0,0
692,0,0,0,0,0,0,0,0,0,0,0,0,0,0
693,0,0,0,0,0,0,0,0,0,0,0,0,0,0
694,0,0,0,0,0,0,0,0,0,0,0,0,0,0
695,0,0,0,0,0,0,0,0,0,0,0,0,0,0
696,0,0,0,0,0,0,0,0,0,0,0,0,0,0
697,0,0,0,0,0,0,0,0,0,0,0,0,0,0
698,0,0,0,0,0,0,0,0,0,0,0,0,0,0
699,2,11640.82453,6,1033907.105,6,31337.22963,4,14980.12188,6,1414813.91,0,0,0,0
700,121,15407104.98,89,17838594.78,73,1245870.67,119,23629095.09,85,27086408.53,3,569536.322,37,188779.5477
701,158,26631310.18,156,26719318.38,115,6421634.523,160,39737996.25,128,40461831.25,43,7031133.925,53,422684.4285
702,61,16151067.21,65,9229660.963,103,18323258.03,45,11041414.44,47,9797936.408,96,21290104.13,41,384533.3885
703,46,1866442.319,73,13075703.74,76,14121145.09,32,2962340.588,61,20791528.09,59,18911719.98,24,154736.1933
704,57,12083584.04,25,3276941.71,50,2638117.87,56,18821696.92,31,3987383.943,16,3491866.213,30,236894.2493
705,13,646526.0863,23,4354707.36,1,10501.50542,19,1291463.693,24,5770849.835,0,0,0,0
706,1,36537.0408,3,1090335.706,0,0,3,9513.30546,3,1378223.686,0,0,0,0
707,67,8093704.315,49,9630477.755,4,16418.15244,63,10247605.84,49,14297041.2,0,0,13,89893.07658
708,74,16254714.67,2,781691.2113,23,1991845.208,72,20881796.82,2,204499.234,2,325201.499,22,191685.2084
709,7,1097363.628,27,3929703.748,56,16549847.67,8,2204670.188,7,1747880.387,55,15653871.66,17,115384.5839
710,7,29391.22395,28,1830896.785,47,8981505.295,1,2396.25,13,3353319.403,51,16265407.16,28,229163.8771
711,19,4986769.96,4,976688.3955,9,130668.242,16,6135212.385,4,1430872.835,2,16760.44308,9,103034.3982
712,18,4203472.223,0,0,12,80407.79935,18,3849100.668,0,0,0,0,14,89526.1549
713,0,0,0,0,0,0,0,0,0,0,0,0,0,0
714,0,0,0,0,0,0,0,0,0,0,0,0,0,0
715,0,0,0,0,0,0,0,0,0,0,0,0,0,0
716,0,0,0,0,0,0,0,0,0,0,0,0,0,0
717,0,0,0,0,0,0,0,0,0,0,0,0,0,0
718,0,0,0,0,0,0,0,0,0,0,0,0,0,0
719,0,0,0,0,0,0,0,0,0,0,0,0,0,0
720,0,0,0,0,0,0,0,0,0,0,0,0,0,0
721,0,0,0,0,0,0,0,0,0,0,0,0,0,0
722,0,0,0,0,0,0,0,0,0,0,0,0,0,0
723,16,6268320.315,0,0,10,71976.0717,16,6702762.773,0,0,0,0,7,87970.20458
724,61,16292461.55,3,1303887.448,30,1296926.44,63,25670642.23,2,799410.5515,3,1778937.772,35,263037.9753
725,68,19856858.7,11,2008074.767,35,1310688.92,70,28651297.6,11,2390018.934,4,1754262.204,39,387560.8128
726,111,14479287.29,97,26254409,27,1729750.567,104,20690896.45,96,32680278.95,2,510596.7213,25,213391.4491
