id,moclients,moincome,tuclients,tuincome,weclients,weincome,thclients,thincome,frclients,frincome,saclients,saincome,suclients,suincome
705,14,38346.48149,21,188117.9499,1,1444.296888,18,73666.13788,22,25647.36867,0,,0,
706,3,396.9227893,3,5725.346565,0,,3,453.1454568,3,73192.86519,0,,0,
707,68,423523.273,49,58713.41458,3,621.8974752,62,492725.6226,49,719167.5229,0,,16,627.911126
708,72,843153.4549,0,,31,1452.631792,71,13786.84197,0,,0,,30,13163.68693
709,3,294.6647319,25,9133.299292,51,546147.137,4,23837.52974,13,627.7619393,47,65867.38722,18,5799.85147
710,7,2156.949943,39,1626.231466,46,44651.32565,4,921.6458263,22,168933.8573,50,821698.5683,27,988.9771219
711,15,236881.2162,2,25335.63612,10,6133.562932,14,281771.5492,2,22475.72454,1,421.2983461,13,7658.583176
712,17,25122.81974,0,,12,4527.31139,17,181981.2992,0,,0,,15,52.13423356
713,0,,0,,0,,0,,0,,0,,0,
714,0,,0,,0,,0,,0,,0,,0,
715,0,,0,,0,,0,,0,,0,,0,
716,0,,0,,0,,0,,0,,0,,0,
717,0,,0,,0,,0,,0,,0,,0,
718,0,,0,,0,,0,,0,,0,,0,
719,0,,0,,0,,0,,0,,0,,0,
720,0,,0,,0,,0,,0,,0,,0,
721,0,,0,,0,,0,,0,,0,,0,
722,0,,0,,0,,0,,0,,0,,0,
723,16,337112.2868,0,,13,61.22281464,16,351726.6751,0,,0,,8,7969.541844
724,58,742745.6233,1,238.4285714,30,16579.86163,58,153743.2642,0,,1,2939.592526,41,2868.43443
725,68,145868.6347,10,99819.55471,44,4984.18373,69,1448874.245,10,15549.46547,3,17757.62765,44,26792.45482
726,117,772442.8115,95,128372.5782,32,19549.76947,118,187187.6948,95,16183.42168,1,187.2749467,35,1729.895275
727,87,154776.5718,1,217.3664158,49,22766.26575,87,1284692.344,0,,1,15.25,58,2763.278128
728,40,27345.7862,19,231249.9281,18,1147.489447,38,395212.5394,20,299248.999,1,1674.762469,15,82.4786822
729,0,,0,,0,,0,,0,,0,,0,
730,4,7332.139567,6,466.1737439,5,57393.23798,3,12651.53285,6,545.7578647,5,48898.39558,2,154.6194762
731,5,47412.75872,23,15353.12577,44,635868.3231,5,7223.135469,26,1276.486612,43,536876.5214,19,6867.519969
732,5,92225.76374,19,974.3668839,31,428559.9923,5,73249.37122,12,3979.952676,29,322147.9542,12,616.1895725
733,63,1291341.262,0,,51,26455.65266,63,833496.9574,0,,2,638.597966,44,33848.31486
734,60,93941.55544,27,3277.554821,40,13319.49424,61,58219.17592,1,25942.29989,2,455.9141755,42,24785.63644
735,0,,0,,0,,0,,0,,0,,0,
736,0,,0,,0,,0,,0,,0,,0,
737,0,,0,,0,,0,,0,,0,,0,
738,0,,0,,0,,0,,0,,0,,0,
739,0,,0,,0,,0,,0,,0,,0,
740,0,,0,,0,,0,,0,,0,,0,
741,0,,0,,0,,0,,0,,0,,0,
742,0,,0,,0,,0,,0,,0,,0,
743,0,,0,,0,,0,,0,,0,,0,
744,0,,0,,0,,0,,0,,0,,0,
745,0,,0,,0,,0,,0,,0,,0,
746,0,,0,,0,,0,,0,,0,,0,
747,0,,0,,0,,0,,0,,0,,0,
748,0,,0,,0,,0,,0,,0,,0,
749,0,,0,,0,,0,,0,,0,,0,
750,0,,0,,0,,0,,0,,0,,0,
751,0,,0,,0,,0,,0,,0,,0,
752,0,,0,,0,,0,,0,,0,,0,
753,0,,0,,0,,0,,0,,0,,0,
754,0,,10,181.2948474,15,4128.797265,0,,5,1293.849952,16,257548.9659,10,3293.365561
755,1,27.48936369,13,893.5266968,24,4663.316153,1,265.3459185,4,936.1547527,24,255866.9843,10,2748.184475
756,32,52684.54589,28,82194.5452,56,455252.295,33,39115.17253,21,74882.94537,45,328796.4391,37,1484.323426
757,118,77345.48312,173,2588566.87,37,16975.84815,117,7644.129918,174,192273.8524,58,2377.889899,1,257.3214286
758,0,,0,,0,,0,,0,,0,,0,
759,0,,0,,0,,0,,0,,0,,0,
760,0,,0,,0,,0,,0,,0,,0,
761,0,,0,,0,,0,,0,,0,,0,
762,0,,0,,0,,0,,0,,0,,0,
763,0,,0,,0,,0,,0,,0,,0,
764,0,,0,,0,,0,,0,,0,,0,
765,0,,0,,0,,0,,0,,0,,0,
766,0,,0,,0,,0,,0,,0,,0,
767,0,,0,,0,,0,,0,,0,,0,
768,0,,0,,0,,0,,0,,0,,0,
769,0,,0,,0,,0,,0,,0,,0,
770,0,,0,,0,,0,,0,,0,,0,
771,0,,0,,0,,0,,0,,0,,0,
772,0,,0,,0,,0,,0,,0,,0,
773,0,,0,,0,,0,,0,,0,,0,
774,0,,0,,0,,0,,0,,0,,0,
775,0,,0,,0,,0,,0,,0,,0,
776,0,,0,,0,,0,,0,,0,,0,
777,0,,0,,0,,0,,0,,0,,0,
778,0,,8,5676.351576,14,24884.52713,0,,8,1714.375168,14,127846.7262,8,1935.359659
779,0,,0,,0,,0,,0,,0,,0,
780,1,77.78571429,2,12759.49193,0,,1,112.8895239,2,12197.94793,0,,0,
781,0,,0,,0,,0,,0,,0,,0,
782,0,,0,,0,,0,,0,,0,,0,
