id,clients,income
312,164,217661043.5
313,168,316208635.4
314,113,182260526.1
315,101,163873624
316,3,2948638.607
317,,
318,,
319,,
320,,
321,,
322,,
323,,
324,1,3562762.209
325,3,5050686.8
326,1,11460.81926
327,1,1155035.804
328,1,1344067.326
329,6,14445364.66
330,124,230984624.1
331,153,243414821.3
332,163,331453806.7
333,108,238163350.8
334,127,203966472.2
335,144,207760708.1
336,144,191570719.4
337,84,118553624.6
338,133,158225257.8
339,11,12917266.84
340,,
341,,
342,,
343,,
344,,
345,,
346,,
347,,
348,,
349,,
350,2,1399633.879
351,,
352,19,77542212.42
353,131,265548454.1
354,133,280442365.9
355,100,180975655.5
356,112,218652902.3
357,79,135858342.6
358,76,82351259.91
359,75,94848766.2
360,112,136087717.8
361,91,109645133.5
362,8,9817655.996
363,,
364,,
365,,
366,,
367,,
368,,
369,,
370,,
371,4,5066556.242
372,,
373,,
374,1,491425.3883
375,6,6859715.035
376,77,148528446.4
377,78,146665387.1
378,155,322267400.2
379,169,288595023.7
380,81,124149278.5
381,45,52553937.6
382,54,73353929.24
383,101,93739080.97
384,114,195698475.5
385,68,103427436.2
386,,
387,,
388,,
389,,
390,,
391,,
392,,
393,1,349387.6794
394,,
395,,
396,,
397,,
398,9,14246073.75
399,17,29650366.54
400,116,192773074.5
401,62,90475899.85
402,67,91091395.69
403,35,43694315.84
404,33,50593959.51
405,41,91840169.15
406,92,159987767.2
407,124,143491997.3
408,67,101829783
409,4,4653146.573
410,,
411,,
412,,
413,,
414,,
415,,
416,,
417,,
418,,
419,8,21401757.46
420,1,1711787.929
421,53,179405557
422,73,182245641.6
423,24,34866585.21
424,30,85082743.58
425,22,26935622.01
426,5,3840375.656
427,18,39852466.56
428,11,28980369.82
429,47,71809576.53
430,142,183481936
431,96,149381156.6
432,9,14129369.09
433,,
434,,
435,,
436,,
437,,
438,,
439,,
440,,
441,,
442,105,251080056.7
443,95,399200594.9
444,43,124082118.4
445,67,167485130.7
446,71,147643982.8
447,7,9856837.987
448,9,26320826.53
449,3,9695641.363
450,19,48900987.86
451,48,103391212.6
452,44,92418691.77
453,102,128247448.8
454,67,105018386.4
455,43,73988666.78
456,,
457,,
458,,
459,,
460,,
461,,
462,,
463,,
464,,
465,2,2451750.632
466,39,86968718.16
467,,
468,24,67147084.51
469,42,78752129.98
470,1,2406586.95
471,41,110817710.8
472,18,41395072.72
473,14,24759074.15
474,6,11959153.43
475,59,93446088.31
476,107,152662610.4
477,93,113315080.9
478,32,51844524.35
479,1,305036.3938
480,,
481,,
482,,
483,,
484,,
485,,
486,,
487,,
488,,
489,29,54861528.81
490,34,82928916.46
491,44,91259570.24
492,26,94086443.95
493,30,97396904.64
494,27,85801005.04
495,16,27989504.45
496,13,12909873.97
497,6,9734190.707
498,90,168468954.5
499,102,183118802.9
500,83,106083838.5
501,34,46090591.5
502,2,6686601.525
503,,
504,27,44965401.23
505,3,3651965.611
506,,
507,,
508,,
509,,
510,,
511,,
512,27,79373354.38
513,95,237281388.6
514,136,253045142.5
515,41,97717341.99
516,34,73335612.64
517,45,67554803.74
518,80,163858838.2
519,159,272586960.1
520,102,192811907.7
521,166,271851282.4
522,96,145658069
523,39,63925564.96
524,49,56475267.46
525,11,13822208.13
526,,
527,,
528,10,7461709.646
529,,
530,,
531,,
532,,
533,,
534,19,51367795.97
535,17,44304465.32
536,121,260129630.1
537,142,278674610.9
538,81,189287738.3
539,18,27249713.52
540,39,49827056.13
541,137,249700523.9
542,143,282580411.2
543,156,267208791.2
544,60,100908136
545,24,42693166.36
546,67,152197513.2
547,32,56164248.93
548,38,45997344.47
549,5,5475254.834
550,2,3774141.341
551,,
552,,
553,,
554,,
555,,
556,,
557,34,72387809.02
558,18,32465582.5
559,59,153952051.2
560,12,22481523.23
561,10,60997124.9
562,33,84818114.08
563,72,163598877.2
564,129,315573078.8
565,131,228230366.8
566,85,144316269.5
567,31,68896419.04
568,51,85088050.14
569,15,20005727.56
570,18,29187701.22
571,20,32975914.44
572,13,25583055.99
573,6,6680288.797
574,,
575,,
576,,
577,,
578,,
579,,
580,11,39732461.93
581,,
582,1,958144.2908
583,,
584,103,198441929.6
585,175,350340111.7
586,92,176884704.7
587,148,281294048.4
588,135,238008746.5
589,63,141046862.8
590,38,74137488.59
591,15,29625711.15
592,22,61006544.96
593,28,47275154.43
594,18,32045544.02
595,11,19963129.94
596,48,94283277.81
597,,
598,,
599,,
600,,
601,,
602,,
603,,
604,,
605,,
606,131,260503729.7
607,153,429485754.8
608,201,480025447.7
609,132,273477318.4
610,99,193291199.4
611,166,250670451.9
612,4,12115622.33
613,3,7380791.64
614,19,31928396.1
615,61,152370090.2
616,21,45674728.95
617,1,5399188.912
618,8,16344696.41
619,2,3191159.193
620,,
621,,
622,,
623,,
624,,
625,,
626,,
627,,
628,,
629,39,90377951.18
630,26,78525367.71
631,82,254519857.4
632,86,212105869.7
633,70,196819889.9
634,113,238661102.4
635,176,442415080.5
