id,mclients,mincome,morders,mclient1,mclient2,mclient3,mPtresclientes,tclients,tincome,torders,tclient1,tclient2,tclient3
632,7,18477.34219,0.325,76801,570543,607942,0.895710518,43,106974.4325,2.2625,Foo,Bar,Baz
633,50,765172.1766,10.5875,81349,89277,89318,0.221524919,26,9113.146095,0.3375,Foo,Bar,Baz
634,66,166150.012,3.225,89212,89218,89241,0.546143877,90,888530.7332,15.825,Foo,Bar,Baz
635,136,710209.7779,12.7125,74163,80945,98897,0.163576285,114,1822664.787,21.35,Foo,Bar,Baz
636,6,61628.20485,1.275,73979,74007,80977,0.701371126,0,0,0,Foo,Bar,Baz
637,96,657480.2552,14.2,86497,86963,561585,0.158363748,37,80610.14675,1.8125,Foo,Bar,Baz
638,23,264547.9525,4.1625,83554,83606,559867,0.415396771,23,5236.856043,0.3,Foo,Bar,Baz
639,11,56683.92771,1.2375,81878,98237,98240,0.636083326,30,8072.075474,0.3875,Foo,Bar,Baz
640,23,82527.15086,1.25,76475,80236,98246,0.566279511,0,0,0,Foo,Bar,Baz
641,24,258736.2105,3.3125,79992,80146,98395,0.490983765,2,493.55,0.025,Foo,Bar,Baz
642,10,165717.5653,2.025,80021,81565,98295,0.596430045,3,513.7243489,0.0375,Foo,Bar,Baz
643,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
644,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
645,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
646,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
647,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
648,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
649,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
650,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
651,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
652,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
653,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
654,0,0,0,,,,0,13,14903.98861,0.2625,Foo,Bar,Baz
655,0,0,0,,,,0,32,12818.25419,0.5375,Foo,Bar,Baz
656,68,270215.6313,4.1375,66060,66199,66421,0.358711219,74,1214698.695,12.5375,Foo,Bar,Baz
657,68,21652.3051,0.9125,75398,87574,566160,0.180919798,156,805999.7877,13.5125,Foo,Bar,Baz
658,137,685358.7466,13.1625,81107,81262,90007,0.169875336,139,1328005.859,21.8125,Foo,Bar,Baz
659,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
660,4,16640.66625,0.575,86437,86744,86752,0.922879286,4,5577.945366,0.2125,Foo,Bar,Baz
661,7,84076.88148,1.2625,86478,86567,573436,0.567656075,6,9144.78576,0.325,Foo,Bar,Baz
662,68,706797.4154,12.8125,84182,85226,85528,0.226300571,5,1232.683358,0.0625,Foo,Bar,Baz
663,39,401968.7431,5.5875,76641,76711,98247,0.379272245,12,2279.153677,0.15,Foo,Bar,Baz
664,51,800194.7039,10.1,80118,80202,568115,0.199578248,5,3633.228691,0.0625,Foo,Bar,Baz
665,57,394429.444,7.5125,81626,91204,539859,0.214363509,41,318621.3616,5.325,Foo,Bar,Baz
666,18,148498.3888,3.3875,88190,88342,88487,0.31258982,4,732.0851825,0.05,Foo,Bar,Baz
667,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
668,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
669,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
670,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
671,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
672,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
673,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
