Cuadrante,Longitud,Latitud,Longitud,Latitud,Longitud,Latitud,Longitud,Latitud
95,-74.2005085,4.507641,-74.1910885,4.507641,-74.1910885,4.516891,-74.2005085,4.516891
96,-74.1910885,4.507641,-74.1816685,4.507641,-74.1816685,4.516891,-74.1910885,4.516891
97,-74.1816685,4.507641,-74.1722485,4.507641,-74.1722485,4.516891,-74.1816685,4.516891
98,-74.1722485,4.507641,-74.1628285,4.507641,-74.1628285,4.516891,-74.1722485,4.516891
99,-74.1628285,4.507641,-74.1534085,4.507641,-74.1534085,4.516891,-74.1628285,4.516891
100,-74.1534085,4.507641,-74.1439885,4.507641,-74.1439885,4.516891,-74.1534085,4.516891
101,-74.1439885,4.507641,-74.1345685,4.507641,-74.1345685,4.516891,-74.1439885,4.516891
102,-74.1345685,4.507641,-74.1251485,4.507641,-74.1251485,4.516891,-74.1345685,4.516891
103,-74.1251485,4.507641,-74.1157285,4.507641,-74.1157285,4.516891,-74.1251485,4.516891
104,-74.1157285,4.507641,-74.1063085,4.507641,-74.1063085,4.516891,-74.1157285,4.516891
105,-74.1063085,4.507641,-74.0968885,4.507641,-74.0968885,4.516891,-74.1063085,4.516891
106,-74.0968885,4.507641,-74.0874685,4.507641,-74.0874685,4.516891,-74.0968885,4.516891
107,-74.0874685,4.507641,-74.0780485,4.507641,-74.0780485,4.516891,-74.0874685,4.516891
108,-74.0780485,4.507641,-74.0686285,4.507641,-74.0686285,4.516891,-74.0780485,4.516891
109,-74.0686285,4.507641,-74.0592085,4.507641,-74.0592085,4.516891,-74.0686285,4.516891
110,-74.0592085,4.507641,-74.0497885,4.507641,-74.0497885,4.516891,-74.0592085,4.516891
111,-74.0497885,4.507641,-74.0403685,4.507641,-74.0403685,4.516891,-74.0497885,4.516891
112,-74.0403685,4.507641,-74.0309485,4.507641,-74.0309485,4.516891,-74.0403685,4.516891
113,-74.0309485,4.507641,-74.0215285,4.507641,-74.0215285,4.516891,-74.0309485,4.516891
114,-74.0215285,4.507641,-74.0121085,4.507641,-74.0121085,4.516891,-74.0215285,4.516891
115,-74.0121085,4.507641,-74.0026885,4.507641,-74.0026885,4.516891,-74.0121085,4.516891
116,-74.2193485,4.516891,-74.2099285,4.516891,-74.2099285,4.526141,-74.2193485,4.526141
117,-74.2099285,4.516891,-74.2005085,4.516891,-74.2005085,4.526141,-74.2099285,4.526141
118,-74.2005085,4.516891,-74.1910885,4.516891,-74.1910885,4.526141,-74.2005085,4.526141
119,-74.1910885,4.516891,-74.1816685,4.516891,-74.1816685,4.526141,-74.1910885,4.526141
120,-74.1816685,4.516891,-74.1722485,4.516891,-74.1722485,4.526141,-74.1816685,4.526141
121,-74.1722485,4.516891,-74.1628285,4.516891,-74.1628285,4.526141,-74.1722485,4.526141
122,-74.1628285,4.516891,-74.1534085,4.516891,-74.1534085,4.526141,-74.1628285,4.526141
123,-74.1534085,4.516891,-74.1439885,4.516891,-74.1439885,4.526141,-74.1534085,4.526141
124,-74.1439885,4.516891,-74.1345685,4.516891,-74.1345685,4.526141,-74.1439885,4.526141
125,-74.1345685,4.516891,-74.1251485,4.516891,-74.1251485,4.526141,-74.1345685,4.526141
126,-74.1251485,4.516891,-74.1157285,4.516891,-74.1157285,4.526141,-74.1251485,4.526141
